
Timestamp              CPU USAGE (%)       
2024-03-30 14:25:18       5.7 
2024-03-30 14:28:00       22.2 
2024-03-30 14:28:54       46.8 
2024-03-30 14:28:57       58.1 
2024-03-30 14:43:51       9.5 
2024-03-30 14:45:15       27.8 
2024-03-30 14:45:17       18.9 
2024-03-30 14:46:33       6.6 
2024-03-30 14:46:34       14.8 
2024-03-30 14:47:20       5 
2024-03-30 14:55:36       100 
2024-03-30 14:58:37       51.2 
2024-03-30 14:58:54       20.5 
2024-03-30 14:59:57       34.1 
2024-03-30 14:59:59       29.8 
2024-03-30 15:02:04       9.4 
2024-03-30 15:04:14       6.6 
2024-03-30 15:05:04       4.7 
2024-03-30 15:05:07       11.9 
2024-03-30 15:05:28       57.1 
2024-03-30 15:09:48       6.4 
2024-03-30 15:11:11       27.1 
2024-03-30 15:11:14       9.7 
2024-03-30 15:12:04       7.6 
2024-03-30 15:12:29       11.5 
2024-03-30 15:12:51       21.3 
2024-03-30 15:23:52       15.4 
2024-03-30 15:23:52       37.7 
2024-03-30 15:23:52       39.7 
2024-03-30 15:23:53       25 
2024-03-30 15:23:53       28 
2024-03-30 15:23:53       26.9 
2024-03-30 15:23:53       35.2 
2024-03-30 15:23:53       33.3 
2024-03-30 15:23:54       41.1 
2024-03-30 15:23:54       36.5 
2024-03-30 15:23:54       38.2 
2024-03-30 15:23:54       40 
2024-03-30 15:23:54       68 
2024-03-30 15:23:55       19 
2024-03-30 15:23:55       21.7 
2024-03-30 15:23:55       43.1 
2024-03-30 15:23:55       43.8 
2024-03-30 15:23:55       40.5 
2024-03-30 15:23:56       47.1 
2024-03-30 15:23:56       27 
2024-03-30 15:23:56       59.6 
2024-03-30 15:23:56       55.1 
2024-03-30 15:23:56       25 
2024-03-30 15:23:57       25.7 
2024-03-30 15:23:57       12.3 
2024-03-30 15:23:57       41.3 
2024-03-30 15:23:57       28.4 
2024-03-30 15:23:57       48.9 
2024-03-30 15:23:58       18.6 
2024-03-30 15:23:58       42.6 
2024-03-30 15:23:58       60.9 
2024-03-30 15:23:58       52.3 
2024-03-30 15:23:58       30.9 
2024-03-30 15:23:59       39.5 
2024-03-30 15:23:59       29.6 
2024-03-30 15:23:59       20.8 
2024-03-30 15:23:59       59.1 
2024-03-30 15:23:59       60.5 
2024-03-30 15:24:00       36.2 
2024-03-30 15:24:00       29.4 
2024-03-30 15:24:00       27.6 
2024-03-30 15:24:00       30.9 
2024-03-30 15:24:00       28.6 
2024-03-30 15:24:00       17.9 
2024-03-30 15:24:01       32.2 
2024-03-30 15:24:01       56 
2024-03-30 15:24:01       35.4 
2024-03-30 15:24:01       46.9 
2024-03-30 15:24:01       24.1 
2024-03-30 15:24:02       22 
2024-03-30 15:24:02       14 
2024-03-30 15:24:02       15.8 
2024-03-30 15:24:02       19.6 
2024-03-30 15:24:02       30.2 
2024-03-30 15:24:03       14.5 
2024-03-30 15:24:03       22.2 
2024-03-30 15:24:03       32.7 
